The Shawshank Redemption,9.3,71
The Godfather,9.2,68
The Dark Knight,9.0,107
The Godfather Part II,9.0,245
12 Angry Men,9.0,276
Schindler's List,9.0,164
The Lord of the Rings: The Return of the King,9.0,163
Pulp Fiction,8.9,101
The Lord of the Rings: The Fellowship of the Ring,8.8,119
"The Good, the Bad and the Ugly",8.8,440
Forrest Gump,8.8,157
Fight Club,8.8,133
The Lord of the Rings: The Two Towers,8.8,382
Inception,8.8,134
Star Wars: Episode V - The Empire Strikes Back,8.7,900
The Matrix,8.7,213
Goodfellas,8.7,146
One Flew Over the Cuckoo's Nest,8.7,244
Se7en,8.6,208
Seven Samurai,8.6,"1,508"
It's a Wonderful Life,8.6,"1,050"
The Silence of the Lambs,8.6,188
Saving Private Ryan,8.6,203
City of God,8.6,525
Interstellar,8.6,81
Life Is Beautiful,8.6,542
The Green Mile,8.6,263
Star Wars: Episode IV - A New Hope,8.6,275
Terminator 2: Judgment Day,8.6,362
Back to the Future,8.5,229
Spirited Away,8.6,428
The Pianist,8.5,519
Psycho,8.5,473
Parasite,8.5,99
Léon: The Professional,8.5,279
The Lion King,8.5,311
Gladiator,8.5,178
American History X,8.5,567
The Departed,8.5,145
The Prestige,8.5,249
Whiplash,8.5,172
The Usual Suspects,8.5,479
Casablanca,8.5,509
Grave of the Fireflies,8.5,"1,335"
Harakiri,8.6,"3,196"
The Intouchables,8.5,664
Modern Times,8.5,"4,803"
Once Upon a Time in the West,8.5,964
Cinema Paradiso,8.5,"1,707"
Rear Window,8.5,"1,662"
Alien,8.5,270
City Lights,8.5,270
Apocalypse Now,8.5,326
Memento,8.4,455
Django Unchained,8.4,219
Raiders of the Lost Ark,8.4,128
WALL·E,8.4,870
The Lives of Others,8.4,"1,111"
Sunset Blvd.,8.4,"2,347"
Paths of Glory,8.4,"2,480"
The Shining,8.4,346
The Great Dictator,8.4,"4,407"
Avengers: Infinity War,8.4,343
Witness for the Prosecution,8.4,"2,820"
Aliens,8.4,404
